Photo,URL,Date/Time Original (Capture),Camera Make,Width,Height,File Type
/Volumes/Ladyhawke/RawPhotos/_1150372.RW2,lightroom://com.johnrellis.anyfilter/0B801C5D-9B6E-4DD8-9EB5-56F537BF1934,2024-06-25 12:19:16,Panasonic,4592.0,3448.0,Raw
/Users/jea/Pictures/Lightroom/Mobile Downloads.lrdata/downloaded-smart-previews/_JD01686.NEF,lightroom://com.johnrellis.anyfilter/FA516C4E-52A7-4DC8-8513-ABD57291929B,2016-06-28 18:23:30,Nikon,2560.0,1700.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-09-13/P9137385.ORF,lightroom://com.johnrellis.anyfilter/E7D4D111-D18E-4D3B-9AA1-66F9F7D36599,2017-09-13 10:54:33,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-09-19/P9198917.ORF,lightroom://com.johnrellis.anyfilter/01193633-5391-42C0-A359-0FCCBDF05E8A,2017-09-19 16:55:53,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/_JD03746-2.NEF,lightroom://com.johnrellis.anyfilter/81579E87-3E98-4C55-A374-480434264354,2016-08-11 09:13:50,Nikon,2560.0,1700.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/IMG_4018.JPG,lightroom://com.johnrellis.anyfilter/BDD00AF2-3EC7-4715-80C8-89383EE5243C,2017-09-19 17:29:52,Apple,4032.0,3024.0,JPEG
/Volumes/Ladyhawke/RawPhotos/2022/2022-11-07/5- Corrected-#1573-121.jpg,lightroom://com.johnrellis.anyfilter/AFFBEAF5-31BA-4520-B43C-8026AF14240C,2022-11-07 22:10:00,,1716.0,2560.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2022/2022-11-14/18- Originals -#1573-054.JPG,lightroom://com.johnrellis.anyfilter/475C79AD-9E52-42AC-B84D-FB6ABAA038C2,2022-11-14 14:28:10,,2560.0,1716.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2022/2022-08-28/IMG_5978.HEIC,lightroom://com.johnrellis.anyfilter/7883B555-A182-4DED-938A-690C9FC17683,2022-08-28 14:28:36-06:00,Apple,4032.0,3024.0,HEIC
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-02/IMG_0392.HEIC,lightroom://com.johnrellis.anyfilter/E325E90F-A2A0-4F59-AB73-482F123772D1,2024-06-02 20:06:51+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/_JD08788.JPG,lightroom://com.johnrellis.anyfilter/7B2934CB-B986-4247-B82E-1FA74E32687C,2016-06-05 12:23:28,Nikon,2560.0,1700.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/downloaded-smart-previews/IMG_1406.JPG,lightroom://com.johnrellis.anyfilter/8C758852-3891-4A07-94FC-98FDBE8DF39F,2017-09-18 14:26:51,Olympus,2048.0,1536.0,Digital Negative (DNG)
"/Volumes/Ladyhawke/RawPhotoImports/2015/2015-03-04/Laura Joan Hunt Hamilton, Clara Islay Hamilton, James Thomas (Jim) Hunt & Tannis Deanne Richards.tif",lightroom://com.johnrellis.anyfilter/B318F5D5-2309-4FBD-A554-9CCB349A2F0D,2015-03-04 19:04:55,,2362.0,1608.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2015/2015-08-14/IMG_6744.JPG,lightroom://com.johnrellis.anyfilter/68AE3E08-8EBC-47A4-A047-A81C413B8C25,2015-08-14 16:09:54,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-07-18/DSC02712.JPG,lightroom://com.johnrellis.anyfilter/FFFE84DD-0988-42CF-8278-D4A6502C7681,2017-07-18 13:51:34,Sony,4896.0,3672.0,JPEG
/Volumes/Ladyhawke/RawPhotos/2016/2016-08-09/IMG_9146.MOV,lightroom://com.johnrellis.anyfilter/D521C601-C7AC-449A-87BE-9113405ABB35,2016-08-09 20:21:22.692,Apple,1440.0,1080.0,Video
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/1- Original-#1573-030-John.tif,lightroom://com.johnrellis.anyfilter/359B4644-7B1F-4F2D-876E-F47452F59CB5,1974-05-20 12:00:00,Nikon,1727.0,2560.0,Digital Negative (DNG)
